"date","time","size","version","os","country","ip_id"
"2020-04-26","08:40:23",87674583,"4.0.0","win",NA,5
"2020-04-26","08:40:30",87660209,"4.0.0","win",NA,5
"2020-04-26","08:40:29",1048742,"4.0.0","win","CN",106
"2020-04-26","08:40:20",88175594,"4.0.0","osx","US",107
"2020-04-26","08:40:24",1007270,"4.0.0","win","CN",106
"2020-04-26","08:40:35",990653,"4.0.0","win","CN",106
"2020-04-26","08:40:36",87669850,"4.0.0","win","KR",108
"2020-04-26","08:40:53",88140851,"4.0.0","osx",NA,5
"2020-04-26","08:41:04",87660319,"4.0.0","win",NA,5
"2020-04-26","08:41:28",88156145,"4.0.0","osx","PL",109
"2020-04-26","08:41:29",81774917,"3.6.3","osx","US",4
"2020-04-26","08:41:45",87661400,"4.0.0","win","CN",110
"2020-04-26","08:41:51",81774919,"3.6.3","osx","US",4
"2020-04-26","08:42:08",87687279,"4.0.0","win","HU",111
"2020-04-26","08:42:39",87660319,"4.0.0","win","KR",112
"2020-04-26","08:42:37",1179885,"4.0.0","win",NA,5
"2020-04-26","08:42:58",87666394,"4.0.0","win",NA,5
"2020-04-26","08:43:02",2300187,"4.0.0","win","CN",113
"2020-04-26","08:43:14",88140058,"4.0.0","osx","ES",114
"2020-04-26","08:43:29",88142067,"4.0.0","osx",NA,5
"2020-04-26","08:43:25",34701159,"4.0.0","win","JP",115
"2020-04-26","08:43:39",87668508,"4.0.0","win","LV",116
"2020-04-26","17:18:46",88142337,"4.0.0","osx","US",117
"2020-04-26","17:18:51",88140604,"4.0.0","osx",NA,5
"2020-04-26","17:19:02",88140801,"4.0.0","osx","US",118
"2020-04-26","17:18:38",81774921,"3.6.3","osx","US",4
"2020-04-26","17:19:25",87663507,"4.0.0","win","TR",119
"2020-04-26","17:19:29",88140594,"4.0.0","osx","US",117
"2020-04-26","17:19:33",87665915,"4.0.0","win","US",18
"2020-04-26","17:19:19",81774921,"3.6.3","osx","US",4
"2020-04-26","17:19:43",87564155,"4.0.0","win",NA,5
"2020-04-26","17:19:31",81774921,"3.6.3","osx","US",4
"2020-04-26","17:19:34",81774921,"3.6.3","osx","US",4
"2020-04-26","17:20:07",88141574,"4.0.0","osx","DE",120
"2020-04-26","17:20:12",87666599,"4.0.0","win","US",121
"2020-04-26","17:20:21",87667779,"4.0.0","win","US",122
"2020-04-26","17:20:35",14528,"4.0.0","osx",NA,5
"2020-04-26","17:20:49",87663747,"4.0.0","win","RU",123
"2020-04-26","17:20:53",87660667,"4.0.0","win","CZ",124
"2020-04-26","17:20:59",87662081,"4.0.0","win",NA,5
"2020-04-26","17:21:14",87660535,"4.0.0","win",NA,5
"2020-04-26","17:21:30",87663234,"4.0.0","win","PL",125
"2020-04-26","17:21:40",87564157,"4.0.0","win",NA,5
"2020-04-26","17:21:26",87661685,"4.0.0","win","DE",126
"2020-04-26","17:21:35",87660701,"4.0.0","win","ES",127
"2020-04-26","17:21:50",88140636,"4.0.0","osx","DE",128
"2020-04-26","17:22:14",87660405,"4.0.0","win","KR",129
"2020-04-26","17:22:18",87701691,"devel","win","US",130
"2020-04-26","17:22:45",87564163,"4.0.0","win","NL",131
"2020-04-26","17:22:46",87669874,"4.0.0","win","US",132
"2020-04-26","17:22:50",88146888,"4.0.0","osx","MX",133
"2020-04-26","17:23:01",87660558,"4.0.0","win",NA,5
"2020-04-26","17:23:16",87564163,"4.0.0","win","NG",134
"2020-04-26","17:23:28",12575285,"3.6.3.nn","osx","AT",135
"2020-04-26","17:23:33",87660270,"4.0.0","win","US",136
"2020-04-26","09:23:51",88140024,"latest","osx","US",2
"2020-04-26","09:23:49",87664514,"4.0.0","win","KR",137
"2020-04-26","09:24:07",1060655,"4.0.0","osx","RU",138
"2020-04-26","09:24:10",88148961,"4.0.0","osx","RU",138
"2020-04-26","09:24:14",87564156,"4.0.0","win","ES",139
"2020-04-26","09:24:20",87564163,"4.0.0","win","CN",140
"2020-04-26","09:24:21",87661291,"4.0.0","win","JP",141
"2020-04-26","09:24:39",1632989,"4.0.0","osx","SG",142
"2020-04-26","09:24:54",88148495,"4.0.0","osx","SG",142
"2020-04-26","09:24:54",88149017,"4.0.0","osx","AE",143
"2020-04-26","09:25:15",14677,"3.6.0","src","US",144
"2020-04-26","09:25:28",87564166,"4.0.0","win",NA,5
"2020-04-26","09:25:29",30450153,"3.6.0","src","US",144
"2020-04-26","09:25:38",87660354,"4.0.0","win","IT",145
"2020-04-26","09:25:53",87664415,"4.0.0","win","KZ",146
"2020-04-26","09:25:48",87660778,"4.0.0","win","JP",147
"2020-04-26","09:26:01",87564157,"4.0.0","win","GB",148
"2020-04-26","09:26:56",87660791,"4.0.0","win","CN",149
"2020-04-26","09:26:57",1066112,"4.0.0","osx",NA,5
"2020-04-26","09:27:24",30450162,"3.6.0","src","US",144
"2020-04-26","09:27:37",87672258,"4.0.0","win","US",39
"2020-04-26","09:27:58",87701285,"devel","win","US",18
"2020-04-26","09:27:55",87564166,"4.0.0","win",NA,5
"2020-04-26","09:28:26",87668357,"4.0.0","win","CN",150
"2020-04-26","09:28:28",88140051,"latest","osx","US",2
"2020-04-26","09:28:40",81774920,"3.6.3","osx","US",4
"2020-04-26","23:53:41",87564167,"4.0.0","win","FI",151
"2020-04-26","23:53:46",87564166,"4.0.0","win",NA,5
"2020-04-26","23:53:32",87564166,"4.0.0","win",NA,5
"2020-04-26","23:54:01",87660274,"4.0.0","win","MA",152
"2020-04-26","23:54:19",81150630,"3.6.3.nn","osx",NA,5
"2020-04-26","23:54:23",81774920,"3.6.3","osx","US",4
"2020-04-26","23:55:06",87669831,"4.0.0","win",NA,5
"2020-04-26","23:55:10",87663539,"4.0.0","win","MX",153
"2020-04-26","23:55:12",81774920,"3.6.3","osx","US",4
"2020-04-26","23:55:43",87666977,"4.0.0","win","US",154
"2020-04-26","23:55:36",33211371,"4.0.0","src","AR",155
"2020-04-26","23:56:14",81774920,"3.6.3","osx","US",4
"2020-04-26","23:56:25",87696336,"devel","win","US",39
"2020-04-26","23:56:37",14531,"4.0.0","osx","KR",156
"2020-04-26","23:56:55",87662036,"4.0.0","win","FR",157
"2020-04-26","23:57:25",88141466,"4.0.0","osx","KR",156
"2020-04-26","23:57:18",87564163,"4.0.0","win","KR",158
"2020-04-26","23:57:26",88149952,"4.0.0","osx","US",159
"2020-04-26","23:57:44",87564163,"4.0.0","win","UY",160
"2020-04-26","23:58:01",87564164,"4.0.0","win","KR",161
"2020-04-26","23:58:22",43632,"3.6.1","osx","US",162
"2020-04-26","23:58:30",81774920,"3.6.3","osx","US",4
"2020-04-26","23:58:30",81774920,"3.6.3","osx","US",4
"2020-04-26","23:58:31",81774920,"3.6.3","osx","US",4
"2020-04-26","18:00:02",81774920,"3.6.3","osx","US",35
"2020-04-26","18:00:03",88043429,"4.0.0","osx","US",4
"2020-04-26","18:00:13",81774919,"3.6.3","osx","US",4
"2020-04-26","18:00:17",81774919,"3.6.3","osx","US",4
"2020-04-26","18:00:14",87666842,"4.0.0","win","US",24
"2020-04-26","18:00:33",87664873,"4.0.0","win","DE",163
"2020-04-26","18:00:30",87661533,"4.0.0","win","US",164
"2020-04-26","18:00:33",87564163,"4.0.0","win",NA,5
"2020-04-26","18:00:50",87660381,"4.0.0","win","ES",165
"2020-04-26","18:00:54",87660203,"4.0.0","win","IN",166
"2020-04-26","18:01:03",87564158,"4.0.0","win","US",167
"2020-04-26","18:00:55",81774919,"3.6.3","osx","US",4
"2020-04-26","18:01:06",81774919,"3.6.3","osx","US",4
"2020-04-26","18:00:42",87662657,"4.0.0","win","US",168
"2020-04-26","18:01:09",88142041,"4.0.0","osx","DO",169
"2020-04-26","18:01:07",87662604,"4.0.0","win","MX",170
"2020-04-26","18:01:11",87564151,"4.0.0","win","US",171
"2020-04-26","18:01:29",87564166,"4.0.0","win","US",172
"2020-04-26","18:01:43",87667627,"4.0.0","win","US",173
"2020-04-26","18:01:39",87564156,"4.0.0","win","PL",174
"2020-04-26","18:01:48",87660386,"4.0.0","win","FR",175
"2020-04-26","18:01:59",81774920,"3.6.3","osx","US",4
"2020-04-26","18:02:04",87662055,"4.0.0","win",NA,5
"2020-04-26","18:02:21",87564163,"4.0.0","win","US",176
"2020-04-26","18:02:31",87564166,"4.0.0","win","IT",177
"2020-04-26","18:02:41",81774920,"3.6.3","osx","US",35
"2020-04-26","18:02:48",87661917,"4.0.0","win","PL",178
"2020-04-26","18:02:50",88043429,"4.0.0","osx","US",4
"2020-04-26","18:02:55",81774920,"3.6.3","osx","US",4
"2020-04-26","18:02:58",33214660,"4.0.0","src","CL",179
"2020-04-26","18:03:03",81774920,"3.6.3","osx","US",4
